checklist_id,observation_date
S71136452,2020-07-04
S66585728,2020-04-03
S71553300,2020-07-16
S71583203,2020-07-17
S71847311,2020-07-26
S77953034,2020-12-25
S72701881,2020-08-22
S70022727,2020-06-03
S76588335,2020-11-23
S70755059,2020-06-23
S73047460,2020-08-31
S69552583,2020-05-24
S66140411,2020-03-23
S71384497,2020-07-12
S71326845,2020-07-10
S70109220,2020-06-06
S73001941,2020-08-30
S66432643,2020-03-31
S66287821,2020-03-27
S66905392,2020-04-10
S66178061,2020-03-24
S65927810,2020-03-18
S65039120,2020-02-25
S64836424,2020-02-21
S64383970,2020-02-12
S62870274,2020-01-01
S62837386,2020-01-01
S66808991,2020-04-08
S66876658,2020-04-09
S77551983,2020-12-16
S67601619,2020-04-21
S67164668,2020-04-14
S67954929,2020-04-28
S77921617,2020-12-24
S68001436,2020-04-28
S68234514,2020-05-02
S69130113,2020-05-16
S68998696,2020-05-13
S69358575,2020-05-20
S76741345,2020-11-27
S69985129,2020-06-02
S69828367,2020-05-30
S70375464,2020-06-13
S76644548,2020-11-24
S70362115,2020-06-12
S72383038,2020-08-13
S69787580,2020-05-29
S70482714,2020-06-15
S70836223,2020-06-26
S75813298,2020-11-04
S70980024,2020-06-30
S70968882,2020-06-29
S71123095,2020-07-04
S72179836,2020-08-07
S71527531,2020-07-15
S71344802,2020-07-11
S71742237,2020-07-23
S71704122,2020-07-21
S75500978,2020-10-27
S71879796,2020-07-27
S72351967,2020-08-12
S75643158,2020-10-31
S73060319,2020-09-01
S72035871,2020-08-02
S71478175,2020-07-14
S71539540,2020-07-16
S65354524,2020-03-02
S72170704,2020-08-06
S75679809,2020-11-01
S64799529,2020-02-20
S75206750,2020-10-22
S72393176,2020-08-14
S70055723,2020-06-04
S76208206,2020-11-13
S71406674,2020-07-12
S74680480,2020-10-11
S74557088,2020-10-08
S72597435,2020-08-19
S72520823,2020-08-17
S75957955,2020-11-07
S65675627,2020-03-11
S73337378,2020-09-08
S73080040,2020-09-01
S65999403,2020-03-20
S66414412,2020-03-30
S72461716,2020-08-16
S75586977,2020-10-30
S72830108,2020-08-26
S75514435,2020-10-28
S65233792,2020-02-28
S68090879,2020-04-30
S66193606,2020-03-25
S64742078,2020-02-19
S64678265,2020-02-17
S75614783,2020-10-30
S64633929,2020-02-17
S64701148,2020-02-18
S64813503,2020-02-21
S75476987,2020-10-27
S65177236,2020-02-27
S66268178,2020-03-27
S63658023,2020-01-22
S72241589,2020-08-09
S67341991,2020-04-17
S62901649,2020-01-02
S66232065,2020-03-26
S66214006,2020-03-25
S72323858,2020-08-11
S66453339,2020-03-31
S66470759,2020-04-01
S71948089,2020-07-30
S71864572,2020-07-27
S72124751,2020-08-05
S71438603,2020-07-13
S76185518,2020-11-13
S71920652,2020-07-29
S72428977,2020-08-15
S75114412,2020-10-19
S76437292,2020-11-20
S75129383,2020-10-20
S71594929,2020-07-18
S71497047,2020-07-14
S70889788,2020-06-27
S64444022,2020-02-14
S71011856,2020-07-01
S72275618,2020-08-10
S71101660,2020-07-03
S73094457,2020-09-02
S66855245,2020-04-09
S75272300,2020-10-23
S72937944,2020-08-29
S70547646,2020-06-17
S70662955,2020-06-21
S75154042,2020-10-20
S70037808,2020-06-04
S69949065,2020-06-01
S67556074,2020-04-20
S73232352,2020-09-05
S70527879,2020-06-17
S73188603,2020-09-04
S72898656,2020-08-28
S67751232,2020-04-24
S68655992,2020-05-09
S72962355,2020-08-29
S77506085,2020-12-15
S72749624,2020-08-23
S69607956,2020-05-25
S70066029,2020-06-03
S77638733,2020-12-18
S69567810,2020-05-24
S70198959,2020-06-03
S72449717,2020-08-15
S72640299,2020-08-21
S75084987,2020-10-19
S73961743,2020-09-22
S64598229,2020-02-16
S71858007,2020-07-26
S74295452,2020-10-01
S65891845,2020-03-17
S67180961,2020-04-14
S68810004,2020-05-10
S70163739,2020-06-07
S70108038,2020-06-06
S70071475,2020-06-05
S75426881,2020-10-26
S68668630,2020-05-09
S75477694,2020-10-27
S70248662,2020-06-09
S69130683,2020-05-16
S70211512,2020-06-08
S68915475,2020-05-11
S66812961,2020-04-08
S69514499,2020-05-23
S69816671,2020-05-28
S72466070,2020-08-16
S71626405,2020-07-19
S81891953,2021-02-18
S98925951,2021-12-15
S81199219,2021-02-13
S99320826,2021-12-23
S99060641,2021-12-18
S97511133,2021-11-06
S97510216,2021-10-30
S97509071,2021-10-16
S96241040,2021-10-16
S92377685,2021-07-27
S92372992,2021-07-27
S89278496,2021-05-30
S91941682,2021-07-18
S92437584,2021-07-28
S89373575,2021-05-31
S89358952,2021-05-31
S88780234,2021-03-15
S86543289,2021-04-27
S85447304,2021-04-13
S86462744,2021-04-26
S94514406,2021-09-10
S93828486,2021-08-28
S86493226,2021-04-27
S86945152,2021-05-02
S86550917,2021-04-28
S86391525,2021-04-25
S87113804,2021-05-04
S78915791,2021-01-07
S78915741,2021-01-08
S78451901,2021-01-01
S78694679,2021-01-04
S79058690,2021-01-10
S82539290,2021-02-28
S82635104,2021-03-01
S92474340,2021-07-28
S96868920,2021-10-29
S93628243,2021-08-23
S85143821,2021-04-09
S85295427,2021-04-11
S78464864,2021-01-02
S87630411,2021-05-09
S87474413,2021-05-08
S87514640,2021-05-08
S81253006,2021-02-13
S81320425,2021-02-14
S81674270,2021-02-15
S96584409,2021-10-23
S79596296,2021-01-20
S80448840,2021-02-05
S81514465,2021-02-14
S81036812,2021-02-12
S84180127,2021-03-27
S86717693,2021-04-30
S82530749,2021-02-25
S82223025,2021-02-23
S90694848,2021-06-24
S84045392,2021-03-24
S82867906,2021-03-05
S82765326,2021-03-04
S97175451,2021-11-05
S91138035,2021-07-02
S94051279,2021-08-31
S83104948,2021-03-09
S83104939,2021-03-09
S85046356,2021-04-07
S84432765,2021-03-30
S93669832,2021-08-23
S84255053,2021-03-26
S91138021,2021-07-02
S83429349,2021-03-14
S85128260,2021-04-07
S83232447,2021-03-11
S80638498,2021-02-07
S82654814,2021-03-02
S82654800,2021-03-02
S93138264,2021-08-12
S80638504,2021-02-07
S82154920,2021-02-21
S83232476,2021-03-11
S83232425,2021-03-11
S92669327,2021-08-02
S80638437,2021-02-08
S84376517,2021-03-29
S85433349,2021-04-12
S85128233,2021-04-08
S85128219,2021-04-07
S85128200,2021-04-08
S83801075,2021-03-21
S88086051,2021-05-14
S82250721,2021-02-24
S81310436,2021-02-14
S98582868,2021-12-07
S86663667,2021-04-29
S79926815,2021-01-26
S86364200,2021-04-25
S85463324,2021-04-13
S93731901,2021-08-25
S85105936,2021-04-08
S88847058,2021-05-23
S79143717,2021-01-12
S99128425,2021-12-18
S88379655,2021-05-17
S87005388,2021-05-03
S80083956,2021-01-29
S79348675,2021-01-16
S79566422,2021-01-19
S91996228,2021-07-19
S82116711,2021-02-21
S99741253,2021-12-31
S85261749,2021-04-10
S88717849,2021-05-22
S92742330,2021-08-04
S98463725,2021-12-04
S92393049,2021-07-25
S93840762,2021-08-28
S94133953,2021-09-03
S93262813,2021-08-15
S96929876,2021-10-31
S97208902,2021-11-06
S92650036,2021-08-02
S87377327,2021-05-07
S92569767,2021-07-31
S91567089,2021-07-10
S92877627,2021-08-07
S97843393,2021-11-20
S80394081,2021-02-03
S86344731,2021-04-25
S84270115,2021-03-27
S84269881,2021-03-28
S86522202,2021-04-27
S88220475,2021-05-15
S135101002,2021-01-08
S79080846,2021-01-11
S81277181,2021-02-13
S79908275,2021-01-25
S110806421,2021-11-20
S110806442,2021-11-19
S110806492,2021-11-06
S87575566,2021-05-07
S81958864,2021-02-19
S87704030,2021-05-09
S81703132,2021-02-15
S80797590,2021-02-10
S87298611,2021-05-06
S81508254,2021-02-14
S79367631,2021-01-16
S79850579,2021-01-24
S81275568,2021-02-12
S96407837,2021-09-12
S94536481,2021-09-11
S96449845,2021-10-19
S87575436,2021-05-08
S96407379,2021-10-18
S79208688,2021-01-13
S87785858,2021-05-10
S81001131,2021-02-12
S81240173,2021-02-13
S81873981,2021-02-18
S87055045,2021-05-03
S86831060,2021-05-01
S82715502,2021-03-03
S97570043,2021-11-14
S80904986,2021-02-12
S86630533,2021-04-29
S86513312,2021-04-27
S81552105,2021-02-15
S81094748,2021-02-13
S87274164,2021-05-06
S81434250,2021-02-14
S81384658,2021-02-14
S91702524,2021-07-13
S81633763,2021-02-12
S82828279,2021-03-05
S79922249,2021-01-26
S91027119,2021-05-31
S82507068,2021-02-28
S78830819,2021-01-06
S94682919,2021-09-15
S95105924,2021-09-24
S89684605,2021-06-05
S82563730,2021-03-01
S98829043,2021-12-13
S97632757,2021-11-15
S96685998,2021-10-25
S96520232,2021-10-21
S80697871,2021-02-09
S89959467,2021-06-10
S79182983,2021-01-13
S97406224,2021-11-10
S85446586,2021-04-13
S79072921,2021-01-11
S85948772,2021-04-20
S92475355,2021-07-29
S86634073,2021-04-29
S87771559,2021-05-10
S87128752,2021-05-04
S84350353,2021-03-29
S87352618,2021-04-09
S80211510,2021-01-31
S83010224,2021-03-08
S80031066,2021-01-28
S84621678,2021-04-02
S83446706,2021-03-15
S80245021,2021-02-01
S79741922,2021-01-23
S79536925,2021-01-19
S79355726,2021-01-16
S78420217,2021-01-01
S78465796,2021-01-02
S80198984,2021-01-31
S82144579,2021-02-22
S86560498,2021-04-28
S81797824,2021-02-17
S86314668,2021-04-25
S83440964,2021-03-15
S83126094,2021-03-10
S94023113,2021-09-01
S94078143,2021-09-02
S98043868,2021-11-24
S94686200,2021-09-15
S97738072,2021-11-18
S80391289,2021-02-03
S86561789,2021-04-28
S85242846,2021-04-10
S98079957,2021-11-25
S97243160,2021-11-07
S97239404,2021-11-06
S91738176,2021-07-14
S84306996,2021-03-28
S87851079,2021-05-11
S96882240,2021-10-30
S84417543,2021-03-30
S78947807,2021-01-09
S93693752,2021-08-24
S98486470,2021-12-04
S93692822,2021-08-24
S93935659,2021-08-30
S84307543,2021-03-28
S94023626,2021-09-01
S93760998,2021-08-26
S79497996,2021-01-18
S79197417,2021-01-13
S78502125,2021-01-02
S78945755,2021-01-09
S94058901,2021-09-01
S96544492,2021-10-22
S96841386,2021-10-29
S87170736,2021-05-04
S87002785,2021-05-03
S99320720,2021-12-23
S98442065,2021-12-04
S87617426,2021-05-09
S87048156,2021-05-03
S85157834,2021-04-09
S86704553,2021-04-30
S86659365,2021-04-29
S84269953,2021-03-27
S92392990,2021-07-27
S93464021,2021-08-18
S86344877,2021-04-25
S85579755,2021-04-15
S85579833,2021-04-13
S85309345,2021-04-11
S82539717,2021-02-28
S95100563,2021-09-24
S84279716,2021-03-28
S96542867,2021-10-22
S93471587,2021-08-19
S89127285,2021-05-28
S87042474,2021-05-03
S86790120,2021-05-01
S93404326,2021-08-18
S95709112,2021-10-07
S85157801,2021-04-09
S94066305,2021-09-02
S94687236,2021-09-15
S94906538,2021-09-19
S86344826,2021-04-25
S92078776,2021-07-21
S92382373,2021-07-26
S93931325,2021-08-30
S85579741,2021-04-15
S93731397,2021-08-25
S88950626,2021-05-25
S94008721,2021-08-31
S93262891,2021-08-15
S93379469,2021-08-17
S95069796,2021-09-23
S92393004,2021-07-25
S92742317,2021-08-04
S95652307,2021-10-05
S79966622,2021-01-27
S91441466,2021-07-08
S83551290,2021-03-17
S89839042,2021-06-08
S98632680,2021-12-08
S85958362,2021-04-20
S83499637,2021-03-16
S85453424,2021-04-13
S97343329,2021-11-09
S83552085,2021-03-17
S78705684,2021-01-05
S85950967,2021-04-20
S87809484,2021-05-11
S85640412,2021-04-16
S89011352,2021-05-26
S83874488,2021-03-22
S83936820,2021-03-23
S83659327,2021-03-19
S88951644,2021-05-25
S99264688,2021-12-22
S89446984,2021-06-01
S92877955,2021-08-07
S89640171,2021-06-05
S89934714,2021-06-10
S93353336,2021-08-17
S88920412,2021-05-24
S89584699,2021-06-04
S86079456,2021-04-22
S89188034,2021-05-29
S90266304,2021-06-16
S83606749,2021-03-18
S89913136,2021-06-09
S92987176,2021-08-09
S86931966,2021-05-02
S86472692,2021-04-27
S89983860,2021-06-11
S86014918,2021-04-21
S88646674,2021-05-21
S83498159,2021-03-16
S85996167,2021-04-20
S83464573,2021-03-15
S90615692,2021-06-22
S90077728,2021-06-12
S78879437,2021-01-08
S82305872,2021-02-25
S83136277,2021-03-10
S90017362,2021-06-11
S83064046,2021-03-09
S90366252,2021-06-18
S82562350,2021-03-01
S82265898,2021-02-24
S90415883,2021-06-19
S99308898,2021-12-23
S83587177,2021-03-17
S82390268,2021-02-26
S89834013,2021-06-08
S90537794,2021-06-21
S90586839,2021-06-22
S90037199,2021-06-12
S88361123,2021-05-17
S80690503,2021-02-09
S80636735,2021-02-08
S90664732,2021-06-23
S92698121,2021-08-03
S88331189,2021-05-16
S93073916,2021-08-11
S98946532,2021-12-16
S99619999,2021-12-29
S96460780,2021-10-20
S84909906,2021-04-06
S80244029,2021-02-01
S79919582,2021-01-26
S96978525,2021-11-01
S90100781,2021-06-13
S80795441,2021-02-11
S97920409,2021-11-22
S98830573,2021-12-13
S98868648,2021-12-14
S98910453,2021-12-15
S90796704,2021-06-26
S87074431,2021-05-04
S99164538,2021-12-20
S99219258,2021-12-21
S85883404,2021-04-19
S99678362,2021-12-30
S99503607,2021-12-27
S99561945,2021-12-28
S99740044,2021-12-31
S84055467,2021-03-25
S84326057,2021-03-29
S79869836,2021-01-25
S93198057,2021-08-14
S85081766,2021-04-08
S84525350,2021-04-01
S88578705,2021-05-20
S79629769,2021-01-21
S82727689,2021-03-04
S99353209,2021-12-24
S85144698,2021-04-09
S79965634,2021-01-27
S85161617,2021-04-09
S78362126,2021-01-01
S84090974,2021-03-25
S85578625,2021-04-15
S85446433,2021-04-13
S83003624,2021-03-08
S88445449,2021-05-18
S85668044,2021-04-16
S88224807,2021-05-15
S89964898,2021-06-10
S87889550,2021-05-12
S88412382,2021-05-17
S84833856,2021-04-05
S98986598,2021-12-17
S89775992,2021-06-07
S88051541,2021-05-14
S80013149,2021-01-28
S80872707,2021-02-12
S85382039,2021-04-12
S86883012,2021-05-02
S88560171,2021-05-19
S87600901,2021-05-09
S97772847,2021-11-19
S87407187,2021-05-08
S89104162,2021-05-27
S79117881,2021-01-12
S79164731,2021-01-13
S84270079,2021-03-27
S85394364,2021-04-12
S83453373,2021-03-15
S84308416,2021-03-28
S81609728,2021-02-15
S81421598,2021-02-14
S94069011,2021-09-01
S83209725,2021-03-11
S85579781,2021-04-15
S86344691,2021-04-25
S86778029,2021-05-01
S80081641,2021-01-28
S94008680,2021-08-31
S85157947,2021-04-09
S96249062,2021-10-16
S94024288,2021-09-01
S94066322,2021-09-02
S93262946,2021-08-15
S86029319,2021-04-21
S93463926,2021-08-18
S95005803,2021-09-22
S96513630,2021-10-21
S80051691,2021-01-28
S99137357,2021-10-18
S96951881,2021-10-31
S94669755,2021-09-14
S97734500,2021-11-18
S96172239,2021-10-15
S94008704,2021-08-31
S97355782,2021-11-09
S96275437,2021-10-17
S96462858,2021-10-20
S86344785,2021-04-25
S93463973,2021-08-18
S84270141,2021-03-27
S94074131,2021-09-02
S78966402,2021-01-09
S92382304,2021-07-26
S85579770,2021-04-15
S96646286,2021-10-24
S96798898,2021-10-28
S96445628,2021-10-19
S94024297,2021-09-01
S85157878,2021-04-09
S80956162,2021-02-12
S81390796,2021-02-14
S98222068,2021-11-28
S78926193,2021-01-09
S84339087,2021-03-29
S79651787,2021-01-21
S97936313,2021-11-22
S83402335,2021-03-14
S84027762,2021-03-24
S99607035,2021-12-28
S79542526,2021-01-19
S80302891,2021-02-02
S79550527,2021-01-19
S79223912,2021-01-14
S79077688,2021-01-11
S82223946,2021-02-23
S99415680,2021-12-25
S78889624,2021-01-08
S98062340,2021-11-25
S98102445,2021-11-26
S83157395,2021-03-10
S84411156,2021-03-30
S85831693,2021-03-12
S94641785,2021-09-14
S94599254,2021-09-13
S94416182,2021-09-09
S96419718,2021-10-19
S96265786,2021-10-17
S96319756,2021-10-18
S96539487,2021-10-22
S96214768,2021-10-16
S97657255,2021-11-16
S80875104,2021-02-12
S82963317,2021-03-07
S83399395,2021-03-14
S86916260,2021-05-02
S89269307,2021-05-30
S92940894,2021-08-08
S92620218,2021-08-01
S94226555,2021-09-05
S94555142,2021-09-12
S87327849,2021-05-07
S85819924,2021-04-18
S93588418,2021-08-22
S82317145,2021-02-25
S92277925,2021-07-25
S96928765,2021-10-31
S85333725,2021-04-11
S93259778,2021-08-15
S91935135,2021-07-18
S91229834,2021-07-04
S87643938,2021-05-09
S79819688,2021-01-24
S99447185,2021-12-26
S84267696,2021-03-28
S91696702,2021-07-13
S84758621,2021-04-04
S78590498,2021-01-03
S89590136,2021-06-04
S90117615,2021-06-13
S84452683,2021-03-31
S89722081,2021-06-06
S82500849,2021-02-28
S94470409,2021-09-10
S88821683,2021-05-23
S83827434,2021-03-21
S90490766,2021-06-20
S82452546,2021-02-27
S80952480,2021-02-12
S92903214,2021-08-07
S94195666,2021-09-03
S93840093,2021-08-27
S80115891,2021-01-30
S84866466,2021-04-05
S82565941,2021-03-01
S83016376,2021-03-08
S82323331,2021-02-25
S93767609,2021-08-26
S82064017,2021-02-21
S78884730,2021-01-08
S93715058,2021-08-25
S78474877,2021-01-01
S78474949,2021-01-02
S80775738,2021-02-10
S79353759,2021-01-16
S94276433,2021-09-05
S82741305,2021-03-04
S81878233,2021-02-18
S94195663,2021-09-02
S92552895,2021-07-31
S92757290,2021-08-04
S85490218,2021-04-13
S92880239,2021-08-06
S92757258,2021-08-03
S93161398,2021-08-13
S84125324,2021-03-26
S80110634,2021-01-29
S84553779,2021-04-01
S85455573,2021-04-13
S89335232,2021-05-30
S89620626,2021-06-02
S82262423,2021-02-24
S80306419,2021-02-02
S93946631,2021-08-29
S93016766,2021-08-08
S93016798,2021-08-09
S89335213,2021-05-31
S92812128,2021-08-05
S93946622,2021-08-28
S80187317,2021-01-31
S83959761,2021-03-23
S84335007,2021-03-29
S88994452,2021-05-25
S88994462,2021-05-25
S93579503,2021-08-22
S83613985,2021-03-18
S82941282,2021-03-07
S83527611,2021-03-16
S82673133,2021-03-03
S82796117,2021-03-05
S84876231,2021-04-02
S82421911,2021-02-27
S82626764,2021-03-02
S80252517,2021-02-01
S82622539,2021-03-02
S80367225,2021-02-03
S80506570,2021-02-06
S82154897,2021-02-22
S84124091,2021-03-26
S82015705,2021-02-20
S80921855,2021-02-12
S93946644,2021-08-30
S81954469,2021-02-19
S81397411,2021-02-14
S80974675,2021-02-12
S81463906,2021-02-14
S81146553,2021-02-13
S89072460,2021-05-27
S93557675,2021-08-21
S84118499,2021-03-25
S84305268,2021-03-28
S80220240,2021-01-31
S84119081,2021-03-26
S93138192,2021-08-11
S89420576,2021-05-31
S93557682,2021-08-21
S98046284,2021-10-01
S88837782,2021-05-23
S95121271,2021-09-24
S96275734,2021-10-17
S78501105,2021-01-02
S96598128,2021-10-23
S96219022,2021-10-16
S85157922,2021-04-09
S89719285,2021-06-06
S79818973,2021-01-24
S85332666,2021-04-11
S82157420,2021-02-22
S80796955,2021-02-11
S97979341,2021-10-12
S94913204,2021-09-14
S97980200,2021-09-28
S95178669,2021-09-23
S96883568,2021-10-30
S79903131,2021-01-25
S98761190,2021-12-11
S98927252,2021-12-15
S95120569,2021-09-24
S95399929,2021-09-30
S169791311,2021-05-01
S92175827,2021-07-23
S90937122,2021-06-28
S94469874,2021-09-10
S98417649,2021-12-03
S95992905,2021-10-11
S95992958,2021-10-11
S92338553,2021-07-26
S92012868,2021-07-06
S92012745,2021-06-30
S80088760,2021-01-29
S81567226,2021-02-15
S79277492,2021-01-15
S81687982,2021-02-15
S79709411,2021-01-22
S95398775,2021-09-30
S83899026,2021-03-22
S92012415,2021-06-18
S92012578,2021-06-18
S92013004,2021-07-08
S92012141,2021-06-15
S86831466,2021-05-01
S78369780,2021-01-01
S94137054,2021-09-03
S85209910,2021-04-10
S92111598,2021-07-21
S90109310,2021-06-13
S92487092,2021-07-29
S91204581,2021-07-03
S97843422,2021-11-20
S90800740,2021-06-26
S91421534,2021-07-07
S93464224,2021-08-14
S94476564,2021-09-10
S92958900,2021-08-06
S97706644,2021-11-17
S93439188,2021-08-19
S92394679,2021-07-25
S91506219,2021-07-09
S92248007,2021-07-24
S78682915,2021-01-04
S82976095,2021-03-07
S88512922,2021-05-19
S79278803,2021-01-15
S85401986,2021-04-12
S92743364,2021-08-04
S84364910,2021-03-29
S85015989,2021-04-07
S87497746,2021-05-08
S84153173,2021-03-26
S82360697,2021-02-26
S88123649,2021-05-14
S81804368,2021-02-17
S86552136,2021-04-28
S86402913,2021-04-26
S87311643,2021-05-07
S83121028,2021-03-10
S90994511,2021-06-29
S86992187,2021-05-03
S90199481,2021-06-14
S79148200,2021-01-12
S89883394,2021-06-09
S88259272,2021-05-16
S88146557,2021-05-15
S89410595,2021-06-01
S80301272,2021-02-02
S89334898,2021-05-31
S81012313,2021-02-12
S89229733,2021-05-29
S81717857,2021-02-16
S81860759,2021-02-18
S81838906,2021-02-17
S89708922,2021-06-06
S88689448,2021-05-21
S82252105,2021-02-24
S82789133,2021-03-05
S82645462,2021-03-02
S83176620,2021-03-11
S88765502,2021-05-22
S91297625,2021-07-05
S78897391,2021-01-08
S78476002,2021-01-02
S84351769,2021-02-03
S82167856,2021-02-04
S84263868,2021-03-28
S83960259,2021-03-23
S84218569,2021-03-27
S78559747,2021-01-03
S82697561,2021-03-03
S78875155,2021-01-08
S83627207,2021-03-18
S79383201,2021-01-17
S83554770,2021-03-17
S79022895,2021-01-10
S79340509,2021-01-16
S80829402,2021-01-26
S81784349,2021-02-04
S82942621,2021-03-07
S91280427,2021-07-04
S85215400,2021-04-10
S85193461,2021-04-09
S80032563,2021-01-28
S86087749,2021-04-22
S79499168,2021-01-18
S86645091,2021-04-29
S80082619,2021-01-29
S80321133,2021-02-02
S87508210,2021-05-08
S79417457,2021-01-17
S79053654,2021-01-10
S86703229,2021-04-30
S80767829,2021-02-10
S80427276,2021-02-04
S81326124,2021-02-14
S98437313,2021-12-04
S97616171,2021-11-15
S97833149,2021-11-20
S92212973,2021-07-24
S89536703,2021-06-03
S93410375,2021-08-18
S98692698,2021-12-10
S80194357,2021-01-31
S88541858,2021-05-19
S96067331,2021-10-13
S84555596,2021-04-01
S80485635,2021-02-05
S81424157,2021-02-14
S80560380,2021-02-06
S80590658,2021-02-07
S79947526,2021-01-26
S80091617,2021-01-29
S90204871,2021-06-14
S86228651,2021-04-24
S97651968,2021-11-15
S92078326,2021-07-21
S89833104,2021-06-08
S82673111,2021-03-02
S82340678,2021-02-23
S81602828,2021-02-15
S80256257,2021-02-01
S81764959,2021-02-16
S80051708,2021-01-28
S79586954,2021-01-20
S79575445,2021-01-19
S79927324,2021-01-26
S80744098,2021-02-10
S81974162,2021-02-19
S83697393,2021-03-19
S79684411,2021-01-22
S80673653,2021-02-08
S80693915,2021-02-09
S80696015,2021-02-09
S82626598,2021-03-02
S86275246,2021-04-24
S83269344,2021-03-12
S81806570,2021-02-17
S81005599,2021-02-12
S82269621,2021-02-24
S83201627,2021-03-11
S83967159,2021-03-23
S86188671,2021-04-23
S81629721,2021-02-15
S84689388,2021-04-03
S87765318,2021-05-10
S82229542,2021-02-23
S82220128,2021-02-23
S80821925,2021-02-11
S83152861,2021-03-10
S80944111,2021-02-12
S80992770,2021-02-12
S86104377,2021-04-22
S82327246,2021-02-25
S81751635,2021-02-16
S88520747,2021-05-19
S81952597,2021-02-19
S80935190,2021-02-12
S80981754,2021-02-12
S80802037,2021-02-11
S86026057,2021-04-21
S83080202,2021-03-09
S80813066,2021-02-11
S80329248,2021-02-02
S81026922,2021-02-12
S93886880,2021-08-29
S83961794,2021-03-23
S80550777,2021-02-06
S80433752,2021-02-04
S83636435,2021-03-18
S83579485,2021-03-17
S83544695,2021-03-16
S80110664,2021-01-23
S98888763,2021-12-14
S81745797,2021-02-16
S80725752,2021-02-09
S80725960,2021-02-09
S85043691,2021-04-07
S86335600,2021-04-25
S82528485,2021-02-28
S82493487,2021-02-28
S82698051,2021-03-03
S96661309,2021-10-24
S80749431,2021-02-10
S81934176,2021-02-19
S80619791,2021-02-07
S81415890,2021-02-14
S81842689,2021-02-17
S85331746,2021-04-09
S96664546,2021-10-24
S84152739,2021-03-26
S85304970,2021-04-11
S99504742,2021-12-27
S94216717,2021-09-05
S85579809,2021-04-13
S84292613,2021-03-28
S97467615,2021-11-12
S99630818,2021-12-29
S95939800,2021-10-10
S93386592,2021-08-17
S99320930,2021-12-19
S96249048,2021-10-16
S98785178,2021-12-12
S84718016,2021-04-03
S94567549,2021-09-12
S99461918,2021-12-26
S81432133,2021-02-14
S96749115,2021-10-26
S82116679,2021-02-21
S82458817,2021-02-27
S83637666,2021-03-18
S97022506,2021-11-02
S97774027,2021-11-19
S81678552,2021-02-15
S93976835,2021-08-31
S81123004,2021-02-13
S81761995,2021-02-16
S81176592,2021-02-13
S81017869,2021-02-12
S81704151,2021-02-15
S81654963,2021-02-15
S81235846,2021-02-13
S81746383,2021-02-16
S81784527,2021-02-16
S80650804,2021-02-08
S81079031,2021-02-13
S82234634,2021-02-23
S82620399,2021-02-28
S83637688,2021-03-18
S91996026,2021-07-19
S84279288,2021-03-28
S83800170,2021-03-19
